Label (Grouping),Illinois,New York,Washington
"        Less than $10,000",91179,165111,39805
"        $10,000 to $14,999",74363,153081,37993
"        $15,000 to $19,999",79055,132503,36154
"        $20,000 to $24,999",83360,120067,34527
"        $25,000 to $29,999",72190,104994,36834
"        $30,000 to $34,999",66886,97969,33992
"        $35,000 to $39,999",64085,91184,37062
"        $40,000 to $44,999",58961,86488,36291
"        $45,000 to $49,999",55466,77750,31831
"        $50,000 to $59,999",100069,156591,60830
"        $60,000 to $74,999",126519,190321,79653
"        $75,000 to $99,999",148486,233056,94625
"        $100,000 to $124,999",101351,155583,64357
"        $125,000 to $149,999",63548,100660,41128
"        $150,000 to $199,999",65597,125453,43300
"        $200,000 or more",72662,159430,48570
